Arquivo,Estrategia,TempoTotal(s),TempoOrdenacao(ns)

testes/exp1_N1000_M50000_C500.txt,InsertionSort,TEMPO_ORDENACAO_NS:570917417,570917417
testes/exp2_N1000_M5000_C500_freq_baixa.txt,InsertionSort,TEMPO_ORDENACAO_NS:3015601443,3015601443
testes/exp3_N100_M5000_C100_freq_media.txt,InsertionSort,TEMPO_ORDENACAO_NS:9242214,9242214
testes/exp3_N500_M5000_C100_freq_media.txt,InsertionSort,TEMPO_ORDENACAO_NS:31527837,31527837
testes/exp3_N1000_M5000_C100_freq_media.txt,InsertionSort,TEMPO_ORDENACAO_NS:55136313,55136313
testes/exp3_N5000_M5000_C100_freq_media.txt,InsertionSort,TEMPO_ORDENACAO_NS:293068855,293068855

testes/exp1_N1000_M50000_C500.txt,QuickSort_por_Cena,TEMPO_ORDENACAO_NS:286803000,286803000
testes/exp2_N1000_M5000_C500_freq_baixa.txt,QuickSort_por_Cena,TEMPO_ORDENACAO_NS:1048977392,1048977392
testes/exp3_N100_M5000_C100_freq_media.txt,QuickSort_por_Cena,TEMPO_ORDENACAO_NS:1408357,1408357
testes/exp3_N500_M5000_C100_freq_media.txt,QuickSort_por_Cena,TEMPO_ORDENACAO_NS:23108812,23108812
testes/exp3_N1000_M5000_C100_freq_media.txt,QuickSort_por_Cena,TEMPO_ORDENACAO_NS:82768893,82768893
testes/exp3_N5000_M5000_C100_freq_media.txt,QuickSort_por_Cena,TEMPO_ORDENACAO_NS:1639332401,1639332401

testes/exp1_N1000_M50000_C500.txt,MergeSort_por_Cena,TEMPO_ORDENACAO_NS:62223031,62223031
testes/exp2_N1000_M5000_C500_freq_baixa.txt,MergeSort_por_Cena,TEMPO_ORDENACAO_NS:57325632,57325632
testes/exp3_N100_M5000_C100_freq_media.txt,MergeSort_por_Cena,TEMPO_ORDENACAO_NS:1107162,1107162
testes/exp3_N500_M5000_C100_freq_media.txt,MergeSort_por_Cena,TEMPO_ORDENACAO_NS:5837508,5837508
testes/exp3_N1000_M5000_C100_freq_media.txt,MergeSort_por_Cena,TEMPO_ORDENACAO_NS:12128090,12128090
testes/exp3_N5000_M5000_C100_freq_media.txt,MergeSort_por_Cena,TEMPO_ORDENACAO_NS:77635118,77635118